first_name,last_name,title,company,speaker_bio,speaker_photo
1,Sergio,Becker,Senior Developer,MicroOcean Software,Test,NULL
3,Gloria,Franklin,Enerprise Architect,Carved Rock Online,Test,NULL
4,Lori,Vanhoose,Java Technical Lead,National Bank,Test,NULL
6,Sam,Vasquez,Software Analyst,Globalmantics Consulting,Test,NULL
7,Justin,Clark,Principal Engineer,Tangerine Hippopotamus Consulting,Test,NULL
8,Barbara,Williams,Senior DBA,Contoso,Test,NULL
9,James,Sharp,Technical Lead,Adventureworks,Test,NULL
10,Julie,Rowe,Software Architect,Northwind Trading,Test,NULL
11,Tonya,Burke,Senior Cloud Consultant,Big Data Consulting,Test,NULL
12,Nicole,Perry,Engineering Manager,World Wide Importers,Test,NULL
13,James,Curtis,Cloud Architect,Farmington Research,Test,NULL
14,Patti,White,Program Manager,State Investments,Test,NULL
15,Andrew,Graham,Software Architect,Property Insurance Group,Test,NULL
16,Lenn,van der Brug,Solutions Architect,Globalmantics Consulting,Test,NULL
17,Stephan,Leijtens,Application Development Manager,Bank Europe,Test,NULL
18,Anja,Koehler,Software Engineer,Contoso,Test,NULL
19,Petra,Holtzmann,Senior API Engineer,European Investment Partners,Test,NULL
20,Jens,Lundberg,Consultant,Aqua Sky Consulting,Test,NULL
21,Linda,Carver,Senior Developer,Chicago Technology Research,Test,NULL
22,Ronald,McMillian,Software Architect,National Bank,Test,NULL
23,Dustin,Finn,Software Engineer,Globalmantics Consulting,Test,NULL
24,Sharon,Johnson,Solutions Architect,National Aerospace Technologies,Test,NULL
25,Karen,McClure,.NET Architect,Adventureworks,Test,NULL
26,Matthew,Thompson,Technical Lead,Fabrikam Industries,Test,NULL
27,Chris,Moore,Solutions Architect,World Wide Importers,Test,NULL
28,Ken,Perry,Software Engineer,International Industrial Works,Test,NULL
29,Christie,Fournier,Application Architect,National Software Services,Test,NULL
30,Jenny,Lee,Azure Cloud Architect,Prairie Cloud Solutions,Test,NULL
31,Alicia,Peng,Senior Cloud Consultant,Cloud Management Partners,Test,NULL
32,Page,Reid,Lead Azure Engineer,State Investments,Test,NULL
33,Anke,Holzman,Senior AWS Consultant,Cloud Management Partners,Test,NULL
34,Dylan,Wilkinson,Principal AWS Engineer,Cloud Native Labs,Test,NULL
35,Henry,Duke,Engineering Lead,Wired Brain Coffee,Test,NULL
36,Cynthia,Crandall,Senior Business Analyst,Wired Brain Coffee,Test,NULL
37,Clara,Dawson,Agile Coach,Agile Coaches Inc,Test,NULL
38,Ann,Martinez,Senior AWS Consultant,Western Consulting Services,Test,NULL
39,James,King,Staff AWS Engineer,Northern States Bank,Test,NULL
40,Simon,Williams,Chief Technology Officer,NorthernSoft Systems,Test,NULL
44,Ken,Randall,Architect,ULA,Working at ULA on the technology innovation map,NULL
45,Monica,Marshall,Architect,ULA,"""Slaving off at ULA""",NULL
5,Raymond,Hall,Senior Developer,City Power and Electric,He is a proficient tester of Power Plants,NULL
46,Monica,Tipper,manager,Cleaning supplies,super good at cleaning,NULL
47,mark,canete,boss,superior,amazing cleaner,NULL
2,James,Goldmine,Solutions Architect,Fabrikam Industries,Test,NULL
50,monica,mmmm,super,superior,hello,NULL

